"","id","lang","previous"
"477","s7523","ger","ösldigh"
"478","s7525","ger","ölgbäwgt"
"479","s7526","ger","s.,djfgböwe"
"480","s7527","ger","sälifghaü9etp"
"481","s7528","ger","sldkgwhäqotir "
"482","s7533","zho","TEST SOPHIA"
"483","s7578","eng","no I have not. "
"484","s7602","eng","No this was my first study I participated in."
"485","s7610","eng","yeah kinda, a psychiatrist did similar situational studies on me in high school these are an interesting task but one of the more engaging ones."
"486","s7611","eng","I have participated in other psychology research studies in the past that involved the understanding of the participants judgement towards something."
"487","s7616","eng","Not really so I am glad to participate. Thanks. "
"488","s7633","nor","Nei."
"489","s7650","nor","skjelden"
"490","s7653","nor","Nei, bare deltatt i andre forskjellige spørreundersøkelser om andre temaer."
"491","s7684","nor","Ja"
"492","s7712","nor","nix"
"493","s7714","nor","Nei."
"494","s7746","eng","never do it before."
"495","s7801","eng","i have not"
"496","s7858","ger","ja diverse"
"497","s7921","eng","I cannot recall a similar study, to the one I just took."
"498","s7922","eng","i have participated in 2 online surveys
1:it was about my mental state when i joined this college im not fully sure but it was something close to this 
2:it was a survey that had to do with my current resident situation and lifestyle"
"499","s7952","eng","I have never participated in a similar study."
"500","s7960","eng","Not similar to this study "
"501","s7963","eng","No i have not participated in a similar study"
"502","s7979","eng","No, I have not participated in a similar study."
"503","s8017","eng","No I haven't"
"504","s8067","eng","no, never participated in similar study"
"505","s8078","eng","No, only similar to the extent of questionairre"
"506","s8079","eng","Yes I have for Dr Thomas Evans at Coventry University."
"507","s8082","eng","no I have not"
"508","s8086","eng","I have not ever participated in a similar study."
"509","s8150","eng","This was my first research study."
"510","s8174","eng","Nope."
"511","s8206","eng","No, this was a very unique study."
"512","s8210","eng","I have participated in a lot of research studies because I am in psych 1001, but I have not done one like this."
"513","s8218","eng","I have not participated in a study like this. "
"514","s8226","eng","No I have never done a study like this "
"515","s8235","eng","No, none have been quite like this. There was one on music comprehension, where you listen to music and say how it made you feel - that was more on the emotional response to situations, than logical. Logical responses seem to be the aim of this study. "
"516","s8245","eng","not really"
"517","s8246","eng","No, I have seen one of the stories/scenarios given before. "
"518","s8285","eng","No, this was unlike anything I've encountered."
"519","s8316","eng","I have not participated in a study like this before."
"520","s8342","ger","Nein. Halte ich auch für Quatsch."
"521","s8356","eng","I have not participated in a similar study before."
"522","s8433","eng","No, not at all."
"523","s8441","eng","No, I have never participated in a similar study."
"524","s8443","eng","No, I have no. The studies I have participated in were direct questions about myself. "
"525","s8445","ger","handelt es sich um eine Blindstudie?"
"526","s8540","pol","participation in similar study"
"527","s8573","eng","using a computer and selecting answers, yes."
"528","s8587","eng","Yeah, I did one with beans the other day."
"529","s8596","eng","No I haven't."
"530","s8628","eng","I participated in a study through a computer game program where I had to choose the correct beans in order to gain points. The goal was to get to 100 and the game would end in failure if i reached 0."
"531","s8648","eng","No this is my first study"
"532","s8656","eng","yes i have college age cousins so ive had to sit though a lot of psych projects"
"533","s8687","eng","I have participated in a similar study; I have done numerous online studies like this in which I judge situations based on given information. "
"534","s8689","eng","no, i have not participated in a similar study "
"535","s8702","eng","N/a"
"536","s8704","eng","Yes, emotional perception of faces"
"537","s8708","eng","I don't think so"
"538","s8712","eng","I have not.
"
"539","s8714","eng","Reading comprehension studies are very similar. Read a short passage and see how much info on it you retained"
"540","s8715","eng","No I have not participated in a similar study but I have participated in an online survey before."
"541","s8740","eng","No, I have not"
"542","s8746","ger","asd"
"543","s8763","eng","No not like this one but I have researched in other studies."
"544","s8767","eng","nope!"
"545","s8768","eng","No, but I have taken research studies in the past. "
"546","s8771","eng","yes. it was a study on tmt theory 
"
"547","s8772","eng","ni]o"
"548","s8874","eng","No, but I enjoyed participating."
"549","s8875","eng","no this one was unique I enjoyed it."
"550","s8876","eng","I have participated in other, different studies."
"551","s8877","eng","Yes, I've participated in other Sona studies but they were in-person."
"552","s8880","eng","I have never participated in a study like this."
"553","s8882","eng","No not with questions like these."
"554","s8919","fre","Non."
"555","s8920","fre","Oui j'ai dejà participer à une étude sur support informatique, oui j'ai déjà participé à une étude me posant des questions de ressenti sur ma personne"
"556","s8948","eng","I have not "
"557","s8949","eng","I haven't participated in such research before, but I have participated in other psych surveys."
"558","s8964","eng","Online listener participation study"
"559","s8995","eng","Nope, this one is unique "
"560","s9006","eng","No i have not."
"561","s9009","eng","I have not. "
"562","s9010","eng","No I haven't"
"563","s9024","eng","No I never participated in a similar study "
"564","s9025","eng","No, this is my first time taking a study like this one."
"565","s9043","pol","Oj tak, coroczne badanie z historyjkami w tym stylu, stodoły-atrapy i takie tam. Na pewno je znacie."
"566","s9050","pol","Nie przypominam sobie."
"567","s9115","pol","Nie brałem"
"568","s9130","pol","Zależy jak podobnym. Ale to jest faktycznie oryginalne. "
"569","s9136","pol","Tak, ale nie potrafię podać szczegółów"
"570","s9139","pol","W tego typu nie, ale biorę udział w wielu badaniach psychologicznych, bo studiuję psychologię"
"571","s9155","pol","tak, w badaniu dr Kuś"
"572","s9169","pol","Tak, pytania były sformułowane w bardzo podobny sposób. Treść historii różniła się od tych przedstawionych tutaj, jednak badanie działało na tej samej zasadzie. "
"573","s9187","pol","Nie uczestniczyłam"
"574","s9232","pol","chyba nie"
"575","s9242","pol","Nie, jednak to miła odmiana "
"576","s9257","pol","Tak, było podobne, z dokładnością do przykładu Gettierowskiego, ale o znacznie szerszym zakresie, ponieważ testowało też inne rozumowania, niezwiązane z teorią poznania. "
"577","s9273","pol","Nie, nie uczestniczyłam nigdy w podobnym badaniu. "
"578","s9282","pol","Tak, badanie psychologiczne oraz obszrowe"
"579","s9308","pol","Wierze ze nie uczestniczylem w podobnym badaniu. "
"580","s9314","pol","Chyba nie"
"581","s9343","pol","nie uczestniczyłem"
"582","s9379","pol","Glu"
"583","s9449","pol","Podczas naboru do służby. Jednak wszystko pozostaje tajemnicą."
"584","s9482","pol","NIE"
"585","s9506","pol","Badanie również polegało na odpowiedzi na pytania w zakresie prawy/fałszu oraz opinii na podstawie przedstawionych historii."
"586","s9522","pol","W badaniu tego rodzaju nie uczestniczyłam"
"587","s9592","pol","Chyba nie. Nie przypominam siebie."
"588","s9598","pol","Nie, nigdy."
"589","s9639","pol","Były przedstawione różne historie i należało wybrać odpowiedź jak rozumiemy przekonania i wiedzę o zdarzeniach osób przedstawionych w historiach."
"590","s9641","pol","Tak, w badaniu nt. zmiany/rozwoju różnorakich intuicji filozoficznych (epistemicznych, moralnych, ontologicznych) w toku uczęszczania na studia filozoficzne. Jedna z historyjek w tamtym badaniu była bardzo podobna do historyjek z tego badania."
"591","s9694","pol","Tak, raz, kilka lat temu. Badanie było podobne, ale szczegółów już nie pamietam."
"592","s9729","pol","Nie uczestniczyłam."
"593","s9746","pol","Brałem udział w podobnym zadaniu - badanie polega (wykonuje się je raz na semestr) na testowaniu intuicji związanych z problemami filozoficznymi wśród studentów (pojawiło się tam między innymi analogiczne zadanie do tego z budynkami i tornadem)"
"594","s9768","pol","W takim jak to, nie. W prostszych testach wyboru."
"595","s9772","pol","Uczestniczyłam w ankietach badających myślenie hipotetyczne. Też trzeba było oceniać, czy bohater historyjki wie coś na pewno, czy raczej mu się wydaje."
"596","s9912","pol","Tak, trzykrotnie uczestniczyłam w podobnym badaniu, również były prezentowane historyjki a następnie trzeba było zaznaczyć w jakim dużym stopniu jesteśmy przekonani co do słuszności stwierdzeń."
"597","s9916","eng","No, only studies in person at Fairfield University."
"598","s9919","eng","yes, I participated in a study where I had to respond to faces and push a controller a certain direction based on the emotion. I also had to look at eyes and try and decipher emotion just from those images"
"599","s9923","eng","No i have not"
"600","s9925","eng","I haven't"
"601","s9937","eng","I have not participated in one like this, but I have participated in multiple other studies. "
"602","s9941","eng","No, I have no participated in a study like this before"
"603","s9943","eng","Not that I'm aware of."
"604","s9949","pol","Uczestniczę regularnie w cyklicznym badaniu dr Kuś z UW, w którym bada rozwój intuicji filozoficznych u studentów filozofii. Daje im podobne historyjki jak te z tego badania do ocenienia (np.jeśli dobrze kojarzę, to jest tam ta z makietą stodoły)"
"605","s9952","eng","No, I have never participated in a similar study"
"606","s9954","eng","I was involved in a study regarding certain words played over and over again for recognition and brain activity. "
"607","s9977","eng","No I have not participated in a similar study."
"608","s10002","pol","trochę podobne wydaje mi się badanie prowadzone przez dr Kuś, tam też są historyjki i trzeba oceniać coś tam, już nie pamiętam co dokładnie
i na pewno była tam podobna historyjka z jeżdzeniem przez wieś i domami, ktore sa tak naprawde kartonami udającymi domy, i tam ta historia i pytania do niej mają sens!"
"609","s10020","eng","I've participated in other studies, but not very similar to this one."
"610","s10025","eng","No I have never participated in a similar study."
"611","s10156","eng","not with the same sort of question in a story like order but yes for the last scale survey part"
"612","s10175","eng","yes, reading situations and answering questions"
"613","s10204","eng","i have not."
"614","s10232","eng","Yes, I have been in a study where I had to put myself in the perspective of a person during situations of distress and state what I would do."
"615","s10258","eng","Yes, I have participated in a study that asked similar questions but had slightly different scenarios"
"616","s10286","eng","I have not participated in any other studies on SONA before."
"617","s10297","eng","Yes. Where i have been given a scenario and was to determine whether the decisions and choices made by the person in the scenario were based on luck or ability. As well as whether or not the choice was logical"
"618","s10312","eng","No I have not "
"619","s10327","eng","No, I have not participated in a similar study."
"620","s10443","ger","weiß ich nicht mehr"
"621","s10487","eng","No, I can't say I have."
"622","s10562","eng","not a similar study"
"623","s10605","eng","yes"
"624","s10616","eng","No I have not "
"625","s10643","eng","not really"
"626","s10653","eng","Yes one with similar scenarios and questions"
"627","s10677","eng","Yes another study that was very similar."
"628","s10678","eng","I have not participated in a study quite like this one yet, but I'd be more than happy to participate in more studies down the road. "
"629","s10706","eng","I have not participated in a study similar to this one."
"630","s10754","ger","Nein, bisher noch nicht"
"631","s10828","eng","No nothing like this"
"632","s10829","eng","Yes, I had to look at 3 different scenarios and evaluate the morality of each. "
"633","s10844","eng","Yes I have completed other studies such as this one on the research website"
"634","s10852","eng","Similar to this exact study I have not."
"635","s10864","eng","I have participated in studies that describe scenarios and follow up with similar questions."
"636","s10865","eng","No, I haven't, which is why I found this one quite interesting."
"637","s10872","eng","I have participated in other psychological studies, but none that were similar to this."
"638","s10873","eng","I have not "
"639","s10921","eng","yes"
"640","s10935","eng","Not really"
"641","s10940","eng","Not really."
"642","s10948","eng","Never"
"643","s10967","eng","Not really."
"644","s10982","eng","Yes, I participated in an online study in which I read scenarios and made judgments based on those situations. "
"645","s10987","eng","No, I have not"
"646","s10993","eng","I have participated in no such study."
"647","s10995","ger","Ich glaube nicht."
"648","s11000","eng","I have done lots of survey based research studies, but I don't think I've done anything related to language or word choice. "
"649","s11004","eng","No, I have not participated in a similar study."
"650","s11005","eng","I have not
"
"651","s11008","eng","not a study that is to simlar to this "
"652","s11017","eng","Yes, I did a study where there were three variations of the classic trolley problem."
"653","s11020","eng","Not really"
"654","s11023","eng","No I haven't. "
"655","s11024","eng","no i have not "
"656","s11035","eng","No, never."
"657","s11077","eng","no I have not"
"658","s11096","eng","No, I have not yet participated in a similar study."
"659","s11097","eng","No, never."
"660","s11120","slo","Nepamätám si"
"661","s11126","eng","not that I recall"
"662","s11141","slo","Ešte nie"
"663","s11158","slo","Toto je prvý takýto výskum, ktorého sa zúčastňujem."
"664","s11161","ger","nein, habe ich nicht. "
"665","s11170","slo","myslím, že podobného výskumu som sa ešte nezúčastnila"
"666","s11171","slo","Nie. "
"667","s11179","slo","Podobneho vyskumu som sa nezucastnila"
"668","s11181","slo","Nezúčasntnil."
"669","s11192","slo","áno, výskum bol zameraný na narábanie so spomienkami na informácie z textov a ich analýzu"
"670","s11200","slo","nezúčastnila"
"671","s11201","slo","Výskumu s touto problematikou som sa ešte nezúčastnila. "
"672","s11202","slo","Áno, nepamätám si už konkrétne o čo išlo"
"673","s11204","slo","Nie "
"674","s11208","eng","Sort of, but not with the same prompts."
"675","s11213","slo","áno zúčastnila a bol zameraný na to, čo človek obetuje v prospech iného a či vôbec je ochotný niečo obetovať "
"676","s11216","slo","Nie, nezucastnil"
"677","s11229","eng","No, I have not
"
"678","s11236","slo","Ešte nie"
"679","s11258","eng","Not identical to this"
"680","s11260","slo","ešte nie"
"681","s11266","slo","asi nie."
"682","s11312","slo","Nie, nebola príležitosť."
"683","s11314","slo","Nie nezúčastnila."
"684","s11321","slo","nezúčastnila"
"685","s11324","slo","Nie, zúčastnila som sa takéhoto výskumu po prvý krát.
"
"686","s11336","eng","Not really, just other studies."
"687","s11337","eng","No, I have not "
"688","s11352","slo","ešte zatiaľ nie"
"689","s11355","slo","nie, nezúčastnila som sa podobného výskumu"
"690","s11356","slo","podobného výskumu som sa zúčastnil"
"691","s11376","eng","No, I haven't"
"692","s11382","slo","Výskumu takéhoto typu som sa ešte nezúčastnil"
"693","s11385","eng","No I have not "
"694","s11393","slo","nie."
"695","s11397","slo","nie ešte som sa podobného výskumu nezúčastnila"
"696","s11408","eng","no i have not."
"697","s11410","eng","No I haven't"
"698","s11417","slo","nie, nezúčastnila "
"699","s11424","slo","Nie. "
"700","s11428","eng","I don't think so, however I have participated in surveys before with likert scales"
"701","s11446","eng","Yes, same methods were used when asking for  my opinion. "
"702","s11448","eng","n/a"
"703","s11487","slo","nie "
"704","s11536","eng","I've participated in studies where you have to read scenarios and answer questions related to them them but I haven't done studies investigating the same thing as this one. "
"705","s11540","eng","No, I have never participated in a study like this"
"706","s11556","eng","No not quite like this one"
"707","s11560","eng","Not similar to this one"
"708","s11571","eng","I cant recall one like this "
"709","s11574","eng","No I haven't "
"710","s11577","slo","áno , čitateľná gramotnosť (čítanie s porozumením)"
"711","s11605","slo","Myslím, že nie"
"712","s11638","eng","No not reallly "
"713","s11657","eng","No I have not participated in a similar study."
"714","s11665","slo","nie nezúčastnila, ale bolo to zaujimavé"
"715","s11666","slo","O morálnych hodnotách"
"716","s11667","slo","zucastnila som sa vyskumu o moralnych hodnotach "
"717","s11704","eng","I have not participated in a study like this, it is original"
"718","s11712","eng","No I have not "
"719","s11716","eng","/"
"720","s11720","eng","No, the studies I had chosen were more about mental health, so I enjoyed this one."
"721","s11723","eng","no i havent "
"722","s11766","eng","yes but not for compression. "
"723","s11769","eng","Nothing similar, no."
"724","s11773","eng","I have never participated in a study regarding language. I really enjoyed it."
"725","s11776","eng","no, I can't say I have."
"726","s11778","eng","Yes, I have participated in different SONA studies. In one I had to read a report and then was prompted to choose the answers that I believed to be true."
"727","s11779","eng","No, this is the first study that I have done like this. "
"728","s11791","eng","Yes, it gave me the same scenarios however with slightly different outcomes"
"729","s11796","eng","Never "
"730","s11807","eng","No, I have not"
"731","s11815","eng","Not really"
"732","s11824","eng","no, it's my first time"
"733","s11826","eng","I have never participated in any study."
"734","s11848","eng","no I have not "
"735","s11850","eng","I have participated in a similar study where questions were asked about court cases and then I had to answer questions and give a short opinion on the different case studies."
"736","s11854","eng","no I have not"
"737","s11861","eng","No i have not "
"738","s11864","eng","no ,I enjoyed this simple one but I found it nice that it make you think that it's gonna be harder than it really is"
"739","s11869","eng","Never"
"740","s11871","eng","No, I have never participated in a study like this. "
"741","s11890","eng","never have "
"742","s11894","eng","No, not previously. "
"743","s11896","eng","Not yet. "
"744","s11902","eng","Not really"
"745","s11904","eng","No I haven't."
"746","s11916","eng","no,never"
"747","s11936","eng","I dont think i have participated in a study like this before. Very interesting."
"748","s11942","eng","no I have not "
"749","s11950","eng","Never."
"750","s11952","eng","Not sure"
"751","s11956","eng","Yes, only in terms of the answering of opinion on a scale, not so much the content of the questions"
"752","s11966","eng","no , i have not. "
"753","s11980","slo","nezučastnil som sa takehoto výskumu"
"754","s11985","slo","Ešte som nemala možnosť sa zúčastniť niečoho podobného."
"755","s12007","eng","NO "
"756","s12009","fre","Non."
"757","s12011","fre","Non jamais."
"758","s12017","fre","Il y a 4 ans, une tâche de décision lexicale et de mémoire de travail mais je ne me rappelle plus précisément."
"759","s12033","fre","Similaire niveau thème non, mais j'ai déjà eu à utiliser les boutons rouge et vert pour une étude sur ""théoriquement"" du moins, sur la rapidité des réflexes après un stimuli, il y a 5 ans."
"760","s12035","fre","Non, je n'ai jamais participé à une étude auparavant"
"761","s12038","eng","Never. "
"762","s12045","fre","Non."
"763","s12046","fre","NON"
"764","s12048","fre","j'ai participé à une étude sur  la mémoire, les exercices était un peu similaire. Le but était de retenir des séries de chiffres et de lettres puis ensuite de les répéter. "
"765","s12065","fre","Une étude sur la mémoire et notre capacité à focaliser notre attention sur un objet"
"766","s12069","eng","Not really"
"767","s12071","eng","No i never have."
"768","s12081","fre","Non jamais."
"769","s12106","slo","áno, ale nepopíšem. "
"770","s12120","slo","Zúčastnil som sa bežných prieskumov."
"771","s12153","slo","Ano"
"772","s12169","slo","Nie nezúčastnila"
"773","s12171","slo","ešte som sa s takýmto druhom výskumu nestretla"
"774","s12201","fre","non jamais"
"775","s12208","fre","oui, l'étude ressemblait un peu à celle que je viens de faire : il fallait mémoriser un nombre donné de chiffres et les réécrire. C'était aussi une tâche de mémoire."
"776","s12219","eng","No. this is my first time "
"777","s12222","fre","oui, j'ai déjà participé a une étude qui ressemble a la première partie ou il faut dire les mots a voix haute "
"778","s12282","slo","Bola som účastníčkou výskumov, ktoré sa týkali diplomových prípadne bakalárskych prác"
"779","s12289","eng","not at all!"
"780","s12313","eng","I have not "
"781","s12323","eng","No, first time "
"782","s12504","slo","Myslím, že v škole sme ešte dávno vypĺňali nejaký výskum, v ktorom sme odpovedali na otázky týkajúce sa uvedených textov."
"783","s12516","eng","no I have not"
"784","s12518","eng","To my knowledge, I do not think I participated in a smilier study"
"785","s12522","eng","Yes"
"786","s12525","eng","Not really like this one no. "
"787","s12526","eng","I practiced in surveys but nothing that required me to read passages. "
"788","s12541","eng","nope."
"789","s12543","eng","NO I have not "
"790","s12551","eng","nope "
"791","s12553","eng","No i have not."
"792","s12559","eng","no i have not."
"793","s12569","eng","Yes - recalling an event"
"794","s12579","eng","No I don't believe I have"
"795","s12580","eng","I have participated in several studies, but never in one similar to this."
"796","s12586","eng","I do not think so."
"797","s12587","eng","No, this is the first time I participate in this kind of study."
"798","s12590","eng","
I jave participated in other studies using scenarios."
"799","s12612","eng","No, this is the first Language/Literature related study I have participated in. "
"800","s12615","eng","I participated in a study on memory."
"801","s12616","eng","Yes"
"802","s12745","eng","i have not."
"803","s12790","eng","I have not. "
"804","s12800","eng","none"
"805","s12814","eng","No,  have not "
"806","s12860","eng","I have never particpated in a study like this"
"807","s12895","eng","I have done other studies, but nothing based purely on reading alone."
"808","s12941","eng","I have never participated in such a study. "
"809","s12958","eng","no I have not"
"810","s12964","eng","No I have not participated in a similar study "
"811","s12987","eng","No, I have not "
"812","s12989","eng","I have never participated in a study before this."
"813","s12992","eng","I have not. "
"814","s13020","eng","I have not participated in a study similar to this"
"815","s13029","eng","No, this is my first research study."
"816","s13036","eng","Yes, it was this almost exact same study. However, the wording and possibly the some of the lines in each story changed a bit to confuse the reader. "
"817","s13039","eng","No i haven't"
"818","s13042","eng","No, this is my first time participating in a study."
"819","s13054","eng","yes i have participated in a similar study. in that study, i was provided with 5 different scinerios and those scenerios were difficult to understand and it made me feel very confused but a diagram of the scenerio was provided for better understandng of the scenerio. however, i forgot the aim of the study."
"820","s13055","eng","No I haven’t "
"821","s13071","eng","no, this is the first one like this."
"822","s13072","eng","No I haven't"
"823","s13086","eng","No, I have not participated in a similar study before."
"824","s13088","eng","No, I have never taken part in a similar study."
"825","s13094","eng","none"
"826","s13096","eng","To my knowledge, no."
"827","s13102","eng","Yes! In college i took part in a class research project."
"828","s13117","eng","Yes once about the effects of enlisting in the military and how motivated individuals were to return. "
"829","s13136","eng","I have never participated in a similar study."
"830","s13138","eng","NO "
"831","s13150","eng","Yes. Was similar study on the Aula platform with angry and dangerous faces."
"832","s13156","eng","I have participated in a study with words, not language precisely. It was memorizing a list of words that were displaying on a presentation while hearing an audio and taking a quiz right after to see how much was remembered."
"833","s13172","eng","As far as I remember, this was my first. "
"834","s13173","eng","I have never participated in a similar study."
"835","s13177","eng","Yes, I participated in a study where I had to view images and respond to them in a similar manner to this study. "
"836","s13183","eng","No, I have not"
"837","s13186","eng","No, this is my first research study"
"838","s13216","eng","i have not"
"839","s13226","eng","No, I have not participated in a study similar to this one. "
"840","s13227","eng","Yes, with man faces.  I needed to chose: I see aggressive or normal face."
"841","s13231","eng","No I have not participated in a similar study "
"842","s13236","eng","No I have not participated in a similar study."
"843","s13240","eng","I have never participated in a study before."
"844","s13249","eng","I have not!"
"845","s13282","eng","no this is the first study i have taken part in."
"846","s13290","eng","this is the first time i have participated in a study"
"847","s13294","eng","This was my first time participating in a research study"
"848","s13304","eng","I believe so, ""Attitudes Towards Educational Policies"" study checked if we are really reading everything and not just skipping the information with random answers. Although studies had different goals, I find it similar."
"849","s13308","eng","I recently participated in a study looking at morals. Different scenarios were given that described different moral situations and after reading I had to answer questions about the scenarios."
"850","s13316","eng","yes, I have done more research but not of the same theme"
"851","s13317","eng","NO."
"852","s13322","eng","no, this was my first time"
"853","s13334","eng","No i have not."
"854","s13338","eng","No, this is the first study i have gone through of its kind."
"855","s13340","eng","No I can not say I have. "
"856","s13345","eng","Not that I remember"
"857","s13354","eng","No,  I have never participated in a study like this before. "
"858","s13380","eng","not yet "
"859","s13390","eng","no I have not "
"860","s13399","gre","ναι.
"
"861","s13438","eng","Yes..It was based with the same research questions"
"862","s13476","eng","No I haven't."
"863","s13502","eng","No, I have never participated in a study before."
"864","s13505","eng","This is the first study I ever participated in."
"865","s13518","eng","No, this is my first time participating in a study."
"866","s13527","eng","No I have not participated in a similar study."
"867","s13551","eng","I have not. "
"868","s13554","eng","no i havent"
"869","s13571","eng","Yes I did a study based on stressed last semester in a simulation setting in person"
"870","s13577","eng","I have not. "
"871","s13580","eng","No, this is the first study I have ever participated in. "
"872","s13583","eng","No I have not this is my first time participating in one. "
"873","s13607","eng","I have recently done a study involving human decisions where I had to sort out words and people and create prison sentences for each."
"874","s13614","eng","No, not at all"
"875","s13624","eng","yes, I had to rate how interesting a set of phrases were."
"876","s13639","eng","I have not "
"877","s13641","eng","No, I have never participated in a similar study"
"878","s13646","eng","No, not similar."
"879","s13670","eng","I have never participated in a study. "
"880","s13676","gre","ασδ"
"881","s13693","eng","No, I have not participated in a similar study."
"882","s13700","eng","No I haven't participated in a study like this before. "
"883","s13711","eng","I have participated in one other formal study for a different class that I had to switch-out of, but it was not similar in the subject matter nor did it use the same modules, but instead was about confidence and was random in certain questions it surveyed."
"884","s13728","eng","Noo"
"885","s13736","eng","No, I have never participated in a similar study."
"886","s13741","eng","i have never studied a similar study

"
"887","s13750","eng","n/a"
"888","s13754","eng","No, this was my first study."
"889","s13783","eng","I have never participated in a similar study."
"890","s13800","eng","Yes "
"891","s13802","eng","No, I have never participated in a similar study."
"892","s13803","eng","Not one like this"
"893","s13811","eng","Yes, it is similar to a comprehension school test. "
"894","s13827","eng","Yes, I did."
"895","s13850","eng","I have never participated in a similar study, "
"896","s13856","eng","No, I have no participated in a similar study."
"897","s13859","gre","Οχι"
"898","s13874","gre","Οχι"
"899","s13878","gre","Οχι"
"900","s13895","gre","όχι πρόσφατα "
"901","s13898","gre","όχι"
"902","s13908","gre","δεν νομίζω"
"903","s13919","eng","I have not. "
"904","s13936","gre","οχι          δεν βλέπω που δεν απάντησα
"
"905","s13940","gre","Οχι, σε καμία"
"906","s13947","eng","I have participated in a decision making study that looked at bias between preference for black or white people."
"907","s13990","eng","yes, decision making on COVID-19 study"
"908","s14015","gre","ΟΧΙ"
"909","s14016","eng","Yes, but not something super similar."
"910","s14019","eng","No, I have not participated in this kind of study."
"911","s14028","eng","I did a study where they played tones and asked whether or not I believe the tone they played was in tune or out of tune from the original."
"912","s14038","eng","No, I haven't participated in a similar study. "
"913","s14039","eng","No I have not participated in a similar study."
"914","s14047","gre","ΟΧΙ"
"915","s14053","eng","No, this is very different "
"916","s14056","eng","i have participated in other studies but not set up like this"
"917","s14063","eng"," No"
"918","s14087","eng","na"
"919","s14101","eng","No
"
"920","s14112","eng","No I have not participated in a similar study. "
"921","s14119","eng","I have participated in studies just Not one like this"
"922","s14136","eng","yes"
"923","s14137","eng","Yes, school surveys."
"924","s14205","gre","οχι "
"925","s14232","gre","οχι,ποτέ"
"926","s14239","gre","οχι
"
"927","s14246","gre","Ναι αλλά ήταν σαν καταμέτρηση των φόβων μας"
"928","s14267","eng","Yes. I was given a scenario and asked questions of how I thought of it, what I would do, etc."
"929","s14274","gre","οχι."
"930","s14275","gre","oxi"
"931","s14363","gre","όχι"
"932","s14368","eng","Yes. Another Rep studyl."
"933","s14372","eng","i have done similar studies where i read something and then answer questions about it"
"934","s14377","gre","Όχι δεν έχω συμμετάσχει."
"935","s14387","gre","ΟΧΙ"
"936","s14395","gre","όχι"
"937","s14400","eng","I have not no."
"938","s14404","eng","No, I have not"
"939","s14405","eng","Yes, I participated in a study that asked for my opinion on seemingly ambiguous political ads."
"940","s14433","eng","I have participated in a number of studies this semester, however this study was unique in that I had to identify my thoughts about a certain situation. "
"941","s14488","gre","ΟΧΙ"
"942","s14494","gre","Όχι."
"943","s14514","gre","οχι σε παρομοια"
"944","s14528","eng","asd"
"945","s14529","eng","asd"
"946","s14539","gre","ΣΤΑ  ΦΟΙΤΗΤΙΚΑ ΧΡΟΝΙΑ ΚΑΤΙ ΑΝΤΙΣΤΟΙΧΟ ΙΣΩΣ "
"947","s14540","eng","No!"
"948","s14548","eng","Not really"
"949","s14549","gre","Οχι"
"950","s14553","eng","I haven't "
"951","s14572","gre","Οχι"
"952","s14577","eng","No I have never participated in a similar study. "
"953","s14578","eng","Not like this, no."
"954","s14580","eng","NO."
"955","s14586","eng","No I have not participated in a similar study. "
"956","s14589","gre","όχι"
"957","s14593","eng","I have participated in other studies, but nothing like this one where i had to evaluate the same questions for different prompts. My other studies were more personal. "
"958","s14606","gre","όχι"
"959","s14607","gre","Όχι."
"960","s14615","eng","No, I haven't"
"961","s14641","eng","I have not "
"962","s14643","eng"," - "
"963","s14647","eng","I have participated in studies however none similar to this."
"964","s14659","eng","Yes, it gave us a short story to read and the purpose of the study was to see how easily we remembered facts from the story whether they were relevant or not. "
"965","s14661","gre","Οχι"
"966","s14668","eng","No
"
"967","s14670","eng","I have not participated in a similar study "
"968","s14673","eng","somewhat similar but not testing the same"
"969","s14688","eng","No I haven't"
"970","s14689","eng","No, I have not"
"971","s14690","eng","I have not participated in a similar study this is new to me."
"972","s14694","eng","no I have not "
"973","s14700","eng","No i never have"
"974","s14714","eng","No, I have not participated in a similar study to this one."
"975","s14717","eng","no i have not participated in a similar study."
"976","s14720","gre","Οχι, δεν συμμετειχα"
"977","s14724","gre","οχι, "
"978","s14733","eng","NA"
"979","s14734","eng","No, most of the studies involve simple multiple choice style response, or typing. This was my first that involved a slider and a different range of how luck-driven or ability-driven a situation was."
"980","s14736","eng","no I have not "
"981","s14738","eng","No I haven't."
"982","s14743","eng","no i have not "
"983","s14745","eng","No, I have not"
"984","s14751","eng","no not like this one, this one was like a quiz with personal opinion "
"985","s14757","eng","No, I have not participated in a similar study before."
"986","s14761","eng","I've only participated in multiple choice or survey studies this one was more interactive"
"987","s14769","eng","i have not"
"988","s14774","eng","No i have not"
"989","s14776","eng","Nope!"
"990","s14780","eng","No never anything like this"
"991","s14781","eng","I don't think so."
"992","s14787","eng","no i have not "
"993","s14792","eng","not at all"
"994","s14795","eng","i have not done a study like this one"
"995","s14797","eng","nothing of this sort."
"996","s14807","eng","no, I have not"
"997","s14808","eng","yes, on sona there are a lot of studies similar"
"998","s14812","eng","No, I have not participated in a similar study"
"999","s14813","eng","I haven't"
"1000","s14817","eng","No! This was unique to me"
"1001","s14821","eng","yes i have. similar questions where you had to read over a case/example and give your best feeling of the correct answers"
"1002","s14822","eng","No, I haven't. Most of the studies I have participated in the past have a very different approach. "
