"","id","lang","purpose"
"797","s4160","zho","不清楚"
"798","s4161","zho","研究問卷的可信度，想了解填問卷的人，是否認真看完題目，再回答問題?"
"799","s4172","tur","Bence bu çalışmanın amacı bir paragrafı okuduğumuzda neyi, ne kadar doğru algıladığımızı ölçmek için yapılmış.  Bir yazı okuduğumuzda detaylarıyla konuyu anlayabilmiş miyiz, kesin çizgilerine vakıf olmuş muyuz bunları ölçmek için yapılmış bir çalışma olduğunu düşünüyorum."
"800","s4173","tur","çalışmanın amacının okuduğunu ne derece anladığımızı ve aynı anlama çıkan cümleleri farklı şekilde yorumlayabilme becerimizi ölçme olarak düşünüyorum."
"801","s4179","tur","Dikkat ve  yargilama"
"802","s4188","zho","其實不太清楚"
"803","s4191","zho","因為故事主角的特質和實際結果，影響我們對於 ""他所判斷的事物的正確性"" 的想法"
"804","s4194","zho","不清楚"
"805","s4203","zho","研究人類的認知判斷情況"
"806","s4206","zho","不清楚但想知道。"
"807","s4214","tur","Kişilerin bilinçdışı verdikleri kararların doğruyla ilgili bir çalışma olabilir ama emin değilim "
"808","s4218","ger","das verständnis von sprache in kombination mit wissen zu erforschen"
"809","s4222","ger","Sprache & Verstehen"
"810","s4224","ger","Perspektive auf Situation durch die Charaktere oder den Leser."
"811","s4225","ger","Unterschied zwischen wissen und denken"
"812","s4226","ger","Zu erforschen, welche Wörter welche Antworten erzeugen können."
"813","s4256","ger","Meiner Meinung nach ist das genaue Lesen der Zweck dieser Studie"
"814","s4257","ger","einfluss von gleicher sprach in unterschiedlichem kontext 
"
"815","s4260","ger","Die verschiedenen Ansichten der leute die einen Text lesen herauszuarbeiten"
"816","s4266","ger","Nicht über Sprache, wie behauptet, sondern eine Studie zur Einschätzung der Vorurteile und Entscheidungsfindung durch (vermeidlich) überlegenes Wissen."
"817","s4268","ger","Inwiefern Wissen von Glauben unterscheidbar ist. Vmtl wichtig für das Thema Fake News"
"818","s4273","ger","Der Zweck der Studie ist es herauszufinden, wie Sprache versatnbden/interpreatatiert wird."
"819","s4277","ger","Wie gründlich liest man und merkt sich die Inhalte. Welche Formulierungen sind bei den Antworten zu beachten. Die Formulierung ist wichtig, um die richtige Antwort zu geben."
"820","s4279","ger","Kein Plan. Irgendwas mit sprachforschung oder so, vll auch um zu gucken ob die leute gewissenhaft studien ausfüllen :D"
"821","s4282","ger","Aufgabenbereich des Studiums. Es heißt meiner Meinung nach nicht umsonst Studium. Es ist dafür da, wissenschaftlich heranzugehen und da gehören Umfragen/Studien nunmal dazu."
"822","s4285","ger","Unterschied zwischen Wissen und glauben anhand von Sprache feststellen"
"823","s4292","zho","不清楚"
"824","s4309","zho","奢侈品的價值"
"825","s4323","zho","語言能力？"
"826","s4325","zho","用語言引導人對一個情境的想法"
"827","s4327","ger","Durch aufmerksames Lesen und im diesen Falle, durch die richtige Definition von Wissen und Glauben, diese Fragen beantworten zu  können."
"828","s4329","ger","Ich bin mir unsicher, allerdings vermute ich, dass es etwas mit der Un-/wahrheit im täglichen Sprachgebrauch zu tun hat; inwiefern man Unwissen von Wissen unterscheiden kann und inwiefern es ""legitim"" ist, etwas zu behaupten, ohne essenzielle und überzeugende Argumente zu haben. "
"829","s4332","ger","Verständnis der deutschen Sprache"
"830","s4337","ger","Die Wahrnehmung und Einschätztungen von Situationen und welchem Einfluss die Ausdrucksweise auf die Wahrnehmung hat."
"831","s4341","ger","klar und unkompliziert"
"832","s4344","ger","Zu schauen wie ernst Menschen Studien nehmen"
"833","s4346","ger","inwieweit man die Sprache bei einem Szenario verstehen/identifizieren kann"
"834","s4349","ger","Sprachverständnis"
"835","s4350","ger","Eindruck von zufälligen ergeinissen, welches eine meist wahre Aussage ergeben. Er sollte der Eindruck von uns Teilnehmer in eine Sachverhalt bewertet werden, also unsere Wahrnehmung "
"836","s4351","ger","wie  evtl. bestimmte Formulierungen zu anderen Einschätzungen ähnlicher Situationen führen können"
"837","s4353","ger","Unterschied zwischen ""glauben"" und ""wissen"""
"838","s4354","ger","Herauszufinden wie Menschen spezifische Situationen, die in einer bestimmten Wortwahl erzählt wird, interpretieren."
"839","s4357","ger","herrauszufinden wie die darstellung eines textes das wahrheitsempfinden beeinflußt."
"840","s4368","ger","Konzentration von Leseaufgaben zu überprüfen"
"841","s4369","ger","Um den Unterschied zwischen der Realität der handelnden Person und der wirklichen Realität aufzuzeigen."
"842","s4372","zho","與邏輯或是閱讀推論能力和細心程度有關？？"
"843","s4373","ger","Irgendwas mit Sprache und der Motivation, daraus die Studie zu absolvieren."
"844","s4377","ger","Ich gehe davon aus, dass es in der Studie um die Terminolgie und dem Verständnis von Wissen bzw. Glauben geht und in wie weit diese Begriffe durch Vorwissen beeinflusst werden."
"845","s4381","ger","Aufmerksamkeit testen und Sprach- bzw Leseverständnis von verschiedenen Personen testen"
"846","s4385","ger","Wie Texte und Wörter unterschiedlich von Menschen verstanden werden"
"847","s4387","ger","Um herauszufinden, ob Menschen genau lesen und die Zusammenhänge richtig erkennen."
"848","s4394","zho","i dont know"
"849","s4395","zho","人的認知跟事實上的差距"
"850","s4403","ger","Um Festzustellen, wie sich die Einstellung der Probant*innen zu  wissen und glauben verändert.  "
"851","s4409","tur","Herhangi bir fikrim yok.
"
"852","s4414","zho","可能是研究語言理解能力"
"853","s4415","eng","to see how only slightly different storys are perceived in a different way, and the role of the language in this"
"854","s4423","eng","to study kind of personalities"
"855","s4435","zho","探討知識的正確性"
"856","s4468","zho","本研究似乎想強調眼前所見未必真實"
"857","s4473","zho","受試者對敘述文字真實性的認知判斷能力（？"
"858","s4477","zho","誤導性標示....吧？"
"859","s4490","tur","Hayattaki başarımızda yeteneklerimizin mi şansımızın mı daha etkili olduğunu düşündüğümüzü değerlendirmek için yapıldığını düşünüyorum.Ya da karşılaştığımız şansızlıklar veya o konuda bilgisiz/ yeteneksizliğimizin bizi ne kadar pes ettirdiği.."
"860","s4503","ger","Herausfinden wie aufmerksam Menschen lesen"
"861","s4505","ger","Mal etwas anderes"
"862","s4506","ger","Psychologisches experiment"
"863","s4507","ger","Ich glaube, dass es nicht um die Fragen an sich ging sondern das Verhalten der Probanden bei Studien."
"864","s4509","ger","Die Entwicklung der Sprache "
"865","s4513","zho","人類思考能力的普遍性"
"866","s4516","ger","weiß ich nicht"
"867","s4519","ger","Verstehen, wie das Textverständis bei kurzen Texten abläuft."
"868","s4523","ger","herauszufinden, wie die Wortewahl und die Art und Weise wie wir sprechen unsere Überzeugung beeinflussen"
"869","s4529","ger","Wie man Situationen einschätz, ob man etwas mit sicherheit weiß oder sich häufig unsicher in seiner MEinung ist und das sprachlich wieder gibt"
"870","s4530","ger","Vlt haben die fragen die man beantwortet hat wirklich was mit einer Studie zu tun. Es könnte aber auch sein das die Fragen dazu da waren um eigentlich ganz andere Daten zu erheben. Naja ich werde es nicht heraus finden"
"871","s4531","ger","Lese-Text-Verständnis, Analyse von ""meinen"" und ""glauben"""
"872","s4533","ger","Ich hab echt nur vage Ideen, aber vielleicht wie unterschiedliche Perspektiven (aufgrund von unterschiedlichem Hintergrundwissen) unsere Perzeption von Wahr / Falsch und Wissen / Glauben beeinflussen."
"873","s4534","ger","Die Studie könnte sich mit vagen Formulierungen, insbesondere ""glauben"" beschäftigen. Hier könnte der Unterschied in der Wahrnehmung von formulierten reinen Annahmen und Wissen, das auf Fakten basiert, untersucht werden."
"874","s4535","ger","Ich denke der Zweck dieser Studie ist nachzuvollziehen wie Teilnehmer die gelesenen Texte verstehen und wahrnehmen. "
"875","s4540","ger","Die Denkweise der Menschen auf ihr eigenes Wissen und das Wissen der Protagonisten zu erforschen und zu analysieren."
"876","s4542","tur","Çalışmanın amacı insanların kendi doğru bildiklerine körü körüne inanması ve aslında onun doğruluğunu araştırmaması üzerine veri toplamak olabilir. Birçok insan ''bilmiyorum'' demekten çekiniyor ve bu insanları yanlış yönlendiriyor. Bir insan bir şeyin doğru olduğuna inanabilir fakat bu o şeyin gerçekten doğru olduğu anlamına gelmez. İnanmak ve bilmek farklı şeylerdir.
"
"877","s4546","ger","Erkläre, wie Menschen fehlenden oder falsche Informationen wahrnehmen und welche Logik sie den daraus entstandenen Sachverhalten zuschreiben."
"878","s4547","tur","Hikayedeki kişilerin bilmedikleri şeyleri biz bildikten sonra onların davranışlarını ve düşüncelerini nasıl değerlendirdiğimizle ilgili olabileceğini düşünüyorum. Çocuklara yapılan 'Candy Box' çalışmasına benzer bir çalışma olabilir."
"879","s4548","tur","bence çalışma bireylerin metin okuma sırasında dikkatlerini ölçmek, aldığı kararlar ya da hayatındaki yönelmelerini bazen emin olarak bazen olmayarak doğru veya yanlış algıya sahip olmalarını ve bunların altındaki nedenleri görmek için yapılmış olabilir. Her şeyin göründüğü gibi olmadığını ya da göründüğü kadar net olmadığını göstermek."
"880","s4550","tur","Bu çalışma insanların çalışma düzenlerini, mantık arayışlarını ve araştırma yaparken ne derece dikkat ettiğini ya da insanların araştırmalarındaki mantık arayışlarını, mantığa e kesin bilgiye ne kadar önem verdiğini araştırıyor olabilir."
"881","s4560","ger","Herauszufinden wie andere Menschen über Situationen von anderen Menschen urteilen/einschätzen"
"882","s4562","zho","沒有"
"883","s4564","zho","客觀評價上對於事實真相的判別之類的XD和當局者迷有點像的感覺?"
"884","s4567","ger","Für wie qualifiziert hält man bestimmte Pesonen? Wieviel Einfluss übernimmt die Beschreibung einer Person?"
"885","s4569","ger","Das richtige Leseverständis zu fördern und die Erfassung von Texten zu überprüfen. "
"886","s4570","ger","Textverständnis und Aufmerksamkeit beim Lesen eventuell."
"887","s4571","ger","Eventuell, herauszufinden, ob Dinge, die man zu wissen glaubt, weil man getäuscht wird oder kenntnislos ist, in dieser bestimmten Situation real sind. "
"888","s4572","ger","Den Unterschied zwischen glauben und wissen herrausfinden bzw wie die beiden Wörter verstanden werden."
"889","s4573","ger","Inwiefern Personen Aussagen treffen, trotz des Mangels ihrer Kenntnisse/Erfahrungen"
"890","s4574","ger","Ich denke, dass man herausfinden möchte, wie die Änderung von Tatsachen, jemanden Täuschen oder nicht täuschen können. Es war manchmal sehr schwierig zu sagen, ob die Dinge jetzt so sind, oder ob diese sich stark geändert haben, aufgrund der Umstände. "
"891","s4575","ger","Leseverständnis, subjektive Wahrnehmung beim Lesen von Texten"
"892","s4578","ger","Möglicherweise zur Analyse von unterschiedlichen Textverständnissen zwischen Menschen."
"893","s4581","ger","Ich denke, dass die Studie die verschieden Ansichten und die Meinungsverschiedenheit vieler Menschen aufzeigt."
"894","s4582","ger","Unterschiedliche/-s Wahrnehmungen/Verständnis von Sprache "
"895","s4583","ger","Kann es nicht beschreiben I'm sorry "
"896","s4584","ger","Meine Meinung nach Zweck dieser Studie ist , wie viel man ,,im Kopf,, behält nach dem mn ein rm Teks gelesen hat, wie lange danach ist man in der Lage auf die Fragen zu beantworten."
"897","s4586","ger","bei fast immer gleicher ausgangslage andere antworten zu erwarten.
ausserdem die selbstsicherheit der Teilnehmer durch einen verschiedene antwort möglichkeiten 
auf die gleichen fragen zu testen"
"898","s4589","ger","Es könnte erforscht werden, wie Menschen auf Unterschiedliche Geschichten reagieren (hinsichtlich der Einschätzung der Begrübdetheit)"
"899","s4591","ger","Rauszufinden ob die Antworten beeinflusst werden, wenn der Leser weiß, ob sich die Person im Text täuscht oder nicht."
"900","s4593","ger","Herauszufinden, mit welchen Informationen wir wie sicher sind in unseren Entscheidungen"
"901","s4594","ger","Leseverständnis "
"902","s4595","zho","無。"
"903","s4599","ger","Die Studie könnte dazu da sein, herauszufinden, ob Menschen den Wahrheitsgehalt in Aussagen oder Erzählungen mithilfe bestimmter Formulierungen oder bestimmter Wortwahl, besser oder schlechter erkennen können (bsp. bei Fake News)."
"904","s4601","ger","Ein Bild darüber zu erstellen, wie Menschen zwischen Wissen und Glauben unterscheiden."
"905","s4614","zho","我認為是透過選擇「事實」與「猜想」間的「偶然」、「必然」性與「運氣」、是否有「專業背景」的問題判斷"
"906","s4630","zho","探討人的心理，使人會懷疑自己的答案是否正確。"
"907","s4646","zho","無"
"908","s4654","zho","沒有"
"909","s4655","zho","透過情境，了解受是再再情境中對詞語語境的判斷及使用，並包含部分受試者對自然環境的理解"
"910","s4656","zho","探究主觀認定"
"911","s4658","tur","kişinin yeniye açıklığıyla mantıksal bağlanmadaki ilşki"
"912","s4662","tur","Kişilerin olayları algılama ,yorumlama ve değerlendirme  kabiliyeti hakkında bulgular elde etmeye yönelik olabilir. "
"913","s4665","eng","To find out correlation between perfectionism/strictness and self-blame/guilt"
"914","s4673","tur","Dil kullanımı ve insanların başarı algısında bilme ve tesadüfilik arasındaki ilişkinin incelenmesi ile ilgili bir çalışma olabileceği kanaatindeyim."
"915","s4676","ger","Schnelles Verarbeiten von Informationen, Abschätzen von nicht eindeutigen Informationen."
"916","s4679","zho","TEST delete data "
"917","s4680","ger","Weiß ich nicht, Textverständnis?"
"918","s4683","eng","TEST delete data "
"919","s4685","ger","TEST delete data "
"920","s4687","ger","Wirkung von Sprache"
"921","s4690","ger","siehe die vorige seite"
"922","s4692","fre","TEST delete data"
"923","s4695","ger","Es scheint mir, dass die Studie sollte herausfinden, wie ich die beschriebene Situation wahrnehme und wie ich aus der Formulierumgen einschätzen kann, was die Person in der Geschichte denkt oder weßt."
"924","s4701","ger","die genaue Leseaufmerksamkeit zu testen"
"925","s4706","ger","Unterschiede glauben/ wissen im Kontext mit Fachpersonen."
"926","s4707","ger","Ich vermute, dass es darum geht, das Problem, missverständlich gestellte Fragen in Klausuren u.a. zu verbessern und um sich über die Lesegenauigkeit der Teilnehmer einen Überblick zu verschaffen."
"927","s4708","ger","Erzählweisen beeinflussen die Einschätzung eigentlich gleicher Sachverhalte, Framing"
"928","s4709","ger","Die Studie soll aussagen, wie Menschen sich in Bezug auf verschiedene Situationen ausdrücken. Menschen glauben oft, etwas zu wissen, obwohl sie viele Dinge ""nur"" glauben."
"929","s4711","ger","Keine Ahnung"
"930","s4715","zho","探討人類是否被主觀看法蒙蔽"
"931","s4716","zho","邏輯思考"
"932","s4718","ger","Beeinflussung von Sprache"
"933","s4721","ger","Die Wahrnehmung derMenschen zu testen. "
"934","s4723","ger","getroffene Entscheidungen einschätzen können"
"935","s4729","pol","wpływ pokazania obiektu na jego identyfikację i odbiór"
"936","s4730","ger","Wirklichkeitskonstruktion"
"937","s4731","ger","Die Funktion der Sprache herauszufinden."
"938","s4732","ger","einen Eindruck darüber verschaffen, was für Unterschiedliche Eindrücke Menschen in verschiedenen Situation haben"
"939","s4733","ger","Lesekompetenz prüfen"
"940","s4734","ger","Verständnis von Sprache"
"941","s4736","ger","was denken wir bloß zu wissen und was wissen wir wirklich"
"942","s4739","ger","Herauszufinden ob das wort wissen objektiv oder subjektiv gemeint ist und wie unter welchen umständen"
"943","s4740","ger","Herausfinden, wie man Marketing gezielter einsetzen kann"
"944","s4742","ger","verständnis der sprache und generelles textverständnis"
"945","s4744","ger","Perspektiveinnahme von Figuren
subjektivierte Involviertheit
Einschätzen von Situationen"
"946","s4745","ger","Wie Menschen über bestimmte Schverhalte denken"
"947","s4746","ger","Einschätzung von Texten und Personen in unterschiedlichen Blickwinkeln"
"948","s4747","ger","zu verdeutlichen, wie Umstände unsere Wahrnehmung beeinflussen können"
"949","s4748","ger","Zur Forschung wie aufmerskam die Texte gelesen wurde, obwohl woher gesagt wurde, dass man gründlich lesen soll"
"950","s4749","ger","Der Zweck dieser Studie könnte sein zu schauen, wie genau der Teilnehmer gelesen hat und wie verständlich die Fragen waren, weil  es offensichtlich immer nur eine richtige Antwortmöglichkeit gab."
"951","s4750","ger","inwieweit man durch sprache feststellen glück/unglück/Schuldzuweisung feststellen kann"
"952","s4751","ger","Logik und Abstraktionsvermögen prüfen"
"953","s4752","ger","Sprachverständnis"
"954","s4755","ger","Ob man die Fragen Anhand des Wissens des Protagonisten beantwortet oder den gesamten Hintergrund nutzt."
"955","s4759","ger","Lese verstehen von Schlüssel und Füllwörtern"
"956","s4760","ger","Ich denke, es geht um die Funktion der Sprache"
"957","s4766","tur","Fikrim yok."
"958","s4778","pol","Nie mam"
"959","s4779","pol","Zrozumienie logiki konstrukcji tekstów"
"960","s4782","pol","ciężko określić"
"961","s4783","tur","fikrim yok"
"962","s4798","zho","研究人類對於知識的真實性了解與否。"
"963","s4808","zho","根據不同的描述、類似的事件是否會做出不同的判斷"
"964","s4811","zho","測驗專注力，和看事情的角度(?)"
"965","s4818","tur","bir dusuncem yok."
"966","s4825","pol","Podatność na manipulację"
"967","s4826","pol","Sprawdzić jak postrzegamy dane sytuacje."
"968","s4828","pol","Pewność w ocenie otaczającej sytuacji?"
"969","s4830","pol","sprawdzenie zdolności zapamiętywania/ kojarzenia osób w różnym wieku, z różnych grup etnicznych/ społecznych"
"970","s4831","pol","Czytanie ze zrozumieniem i umiejętność wyciągania wniosków na podstawie zawartych w tekście informacji"
"971","s4832","pol","Nie mam żadnych przypuszczeń"
"972","s4834","eng","to see how culture affects language processing "
"973","s4841","eng","To assess whether I believe the character is aware of their environment"
"974","s4842","eng","To gage the response and interpretation of different languages in storytelling"
"975","s4845","tur","Çalışmanın amacının gerçeklik algımızın nasıl yönlendirilebileceği üzerine olduğunu düşünüyorum. Ancak daha sonra sorulan kişisel sorulardan da özellikle tekrarlayan şeylerin altındaki nedenlere bakmak ve bunlara yeni bazı bakış açıları getirmekle olduğuna yöneltti. Bu iki tematik birbiriyle çelişmez gibi gözükse de, farklı alanlarla ilgili gibidir."
"976","s4846","pol","Jak bardzo jesteśmy w stanie zaufać swojemu subiektywnemu odczuciu."
"977","s4859","tur","Dilin algılama üzerindeki etkisini anlamaya yönelik"
"978","s4865","tur","Okuduğunu anlamanın ve kendini anlamanın önemi, bilgisi. Ve bunlara yorumlamalar katabilme."
"979","s4866","tur","Okuduğumuzu anlama, kendimizi anlama. Yorumlama becerisi."
"980","s4872","zho","耐心"
"981","s4879","zho","探就 眼見是否為憑? 自己所看到的真實是真實嗎?"
"982","s4891","zho","看受試者在判斷文本問題的過程中是否有帶入自己（第三者/旁觀者）的想法"
"983","s4894","tur","Okuduğunu anlayıp farklı noktalara dikkat çekerek olayın merkezinin saptırılsada ne kadar anlaşıldığı hakkında olduğunu düşünüyorum."
"984","s4896","zho","為了知道人怎麼想?"
"985","s4961","zho","邏輯思考，文章視讀的能力研究"
"986","s5018","zho","是非邏輯判斷能力"
"987","s5087","zho","研究人類心理對於事情的理解"
"988","s5138","zho","能否分辨「真的知道」或「相信自己知道」"
"989","s5211","zho","人們的邏輯"
"990","s5237","zho","了解人類對於模玲兩可的問題選擇"
"991","s5326","zho","了解對於人對於是非的判斷"
"992","s5556","zho","邏輯性??
每個題目很像但是不同情境下會想選出不同答案
可是又很疑惑自己選的是不是符合參考答案"
"993","s5562","zho","研究語言文字與個體判斷能力"
"994","s5636","zho","研究對於認知的判斷"
"995","s5637","zho","不確定，但感覺是針對旁觀者對故事中角色判斷所認定事物的看法"
"996","s5643","zho","探討人們對於文字敘述的邏輯真實性"
"997","s5728","zho","測驗讀者的閱讀理解能力"
"998","s5744","zho","測驗對情境故事的理解程度"
"999","s5752","zho","不確定但實際上正確的事可以算知道嗎"
"1000","s5760","zho","利用故事情境題目，測試讀者的思辨能力。"
"1001","s5787","zho","為了瞭解受測者對故事的理解程度"
"1002","s5826","zho","對於文字真實性判斷"
"1003","s5930","zho","人的判斷能力?"
"1004","s5932","zho","探討語病以及回答一致性嗎"
"1005","s6004","tur","Çalışmanın amacı bildiklerimiz, bildiğimizi sandıklarımız ve bilmek için izlediğimiz prensipleri sorgulamak gibi gözüküyor. "
"1006","s6016","tur","bireylerin okuduğunu anlama ve dikkatlerini ölçerek onların hangi kişilik tipiyle örtüştüğünü amaçlamış olabilir."
"1007","s6038","zho","是不是知識論相關？
"
"1008","s6073","zho","不清楚"
"1009","s6079","zho","了解大家判斷東西的正確性是否會因疲倦被影響"
"1010","s6094","zho","有沒有能分辨是非的能力，跟相信自己判斷力的程度"
"1011","s6109","zho","了解人類判別知識真實性能力，為假訊息防範進行研究"
"1012","s6116","tur","çalışma kişinin gerçek hayatla kendi bireysel dünyasındaki bağı araştırıyor."
"1013","s6132","zho","測試閱讀方式"
"1014","s6134","eng","to show how people understand other by their views"
"1015","s6280","zho","閱讀能力"
"1016","s6347","zho","探討藉由觀看一段文字 判斷文字所敘述的事情對你而言是什麼感受"
"1017","s6355","eng","understand the truth and perception "
"1018","s6361","zho","了解人從第三者角度看待他人判斷事情的真偽正確與否，第三者會認為是靠運氣還是實力"
"1019","s6373","tur","Analitik düşünme becerisi ve kararlarımızı bilinç dışı mı yoksa edindiğimiz bilgilere göre mi verdiğimiz."
"1020","s6423","zho","無"
"1021","s6431","zho","考驗閱讀能力"
"1022","s6441","eng","believe system"
"1023","s6457","tur","Ön bilgilere dayanan verilerin yeniyi anlamlandırmadaki etkisi..Düşünülene inanma kişide ""bilme"" zannı oluşturabilir ve tercihlere yön verebilir."
"1024","s6466","tur","Hikayeli bölümdeki hikaye ve sorular mantıksız. Verilen hikaye ile sorular bir sonuca götürücek mantık da değil,"
"1025","s6476","zho","無"
"1026","s6484","zho","認知判斷"
"1027","s6519","tur","ÖLÇÜM"
"1028","s6522","tur","dikkat ve planlama hakkında yapılan bir araştırma"
"1029","s6555","zho","探討有關判斷的人類行為"
"1030","s6574","tur","İnsanların yaşmış oldugu yada yaşamakta oldugu olayları nasıl ve ne şekilde algıladıgı konusunda fikir sahibi olmamızı sağlamayı amaçlamakta"
"1031","s6584","eng","Something related to beliefs related to perceptions, and where responsibility should lie in situations where they are relevant."
"1032","s6613","pol","celem badania jest ustalenie, jak postrzegane jest formułowanie prawdziwych/fałszywych tez w zależności od tego, czy następuje to w wyniku wiedzy i umiejętności, czy też innych okoliczności. "
"1033","s6615","tur","algı yanlması üzerine bir test olduğunu düşünüyorum"
"1034","s6632","eng","to observe different point of views"
"1035","s6680","pol","nie wiem"
"1036","s6686","pol","Zależność między postrzeganiem rzeczywistości a ilością posiadanych informacji"
"1037","s6693","pol","Różnica w potocznym rozumieniu słów o wierze vs wiedzy."
"1038","s6694","pol","zbadanie jak ludzie postrzegają rzeczywistość na podstawie informacji, które są dla nich dostępne"
"1039","s6700","zho","留白"
"1040","s6710","zho","判斷事情給的條件越充分 判斷就越可靠?"
"1041","s6732","zho","對於訊息解讀的能力。"
"1042","s6754","pol","Jak kontekst zmienia naszą opinię na dany temat? "
"1043","s6760","pol","Określenie stopnia umiejętności czytania ze zrozumieniem w społeczeństwie. "
"1044","s6765","pol","nie wiem "
"1045","s6777","pol","Przypuszczam, że cel jest związany z określeniem, jak ludzie rozumieją pewne słowa lub w jaki sposób ich używają; kiedy o sądzie można mówić, że jest uzasadniony lub prawdziwy;jak kontekst wpływa na przypisywanie sądom tych cech, itp. "
"1046","s6782","eng","Understanding how contradictory information in a story is interpreted by the reader and how this depends on the language of the text"
"1047","s6793","pol","Sprawdzenie czy ludzie czytają ze zrozumieniem"
"1048","s6800","zho","判斷人的邏輯思考趨勢"
"1049","s6849","eng","I have a feeling it may be something to do with gender and perception but honestly not that sure. Kind of expecting a manipulation somewhere"
"1050","s6851","eng","to see the way people think"
"1051","s6852","eng","I think the purpose of the study is to find out the difference between someone believing that something is true versus whether it is actually true."
"1052","s6853","eng","To interpret whether we think the opinion of the person who is ignorant of the 'truth' is wrong or right"
"1053","s6854","eng","Seems to be around the idea of assumptions. How we perceive the importance and impact of assumptions and the judgements/perception of others on us whether we had a successful or unsuccessful assumption "
"1054","s6872","eng","I believe that it is about our perception of things that are true."
"1055","s6875","pol","Czytanie ze zrozumieniem"
"1056","s6877","eng","I think one possible purpose was to determine relative ""knowing"" based on a surplus or lack of information."
"1057","s6878","eng","How people judge others when they make mistakes"
"1058","s6879","eng","I think the purpose of this study is to realize that things are not as they seem and that belief does not necessarily mean knowledge."
"1059","s6881","tur","dikkat ölçme"
"1060","s6885","eng","To judge how people interpret situations when they are given sometimes unnecessary background knowledge."
"1061","s6887","eng","Possibly to study the confidence level in those responding. "
"1062","s6891","eng","I think the purpose of the study is to see whether our view changes on someone's ability whether they are correct or wrong on something. "
"1063","s6893","pol","Zapewne taki, jaki był podany na początku, zwiazany z badaniem języka"
"1064","s6902","pol","Nie zastanawiałam się nad tym."
"1065","s6916","eng","To look at how people perceive things based on their previous experiences/knowledge versus what's the actual truth"
"1066","s6917","eng","The purpose of the study is to see how varying small details affects if the subject thinks the person in the scenario truly knows something or just believes it. "
"1067","s6922","eng","To try to understand the concepts of ""believing"" and ""knowing"", what the differences between them are, and what people think about these concepts. "
"1068","s6932","tur","bir fikrim yok"
"1069","s6940","eng","I think the purpose is to see how carefully we read and how much information we retain as a result of that."
"1070","s6941","tur","Veri toplayarak belirsizlikler karşısında insan davranışı ile ilgili bir çalışma yapılacağını düşündüm."
"1071","s6945","eng","to see if people know something to be true or if they just assume to it to be due to certain circumstances"
"1072","s6948","eng","To see if one person's reality is the true reality. "
"1073","s6949","eng","To determine the motivations and self-awareness of the participant during the study"
"1074","s6966","eng","I do not know"
"1075","s6967","eng","to test whether people were gullible "
"1076","s6973","eng","to see how words and the ways stories are described influence our opinions and perceptions of the event"
"1077","s6974","eng","Reading interpretation"
"1078","s6982","tur","Düşünce tarzlarını görüp yorumlamak."
"1079","s6988","eng","To recall information and details from the passages."
"1080","s6989","eng","To investigate the judgment of others based on their beliefs "
"1081","s6990","eng","about impressions versus reality"
"1082","s6991","eng","I think that the purpose was to look at the difference of the perspective between believing and knowing. "
"1083","s7006","nor","Ingen kommentar, usikker på formål"
"1084","s7014","nor","Kan ha vært å se hvor konsekvent man svarer.
Eventuelt om man motsier seg selv
Eventuelt om man svarer slik man føler man burde svare.
Eventuelt hvor godt man leser teksten.
Eller noe annet :-) "
"1085","s7019","pol","nie wiem"
"1086","s7029","eng","Gauging the perception of others"
"1087","s7031","eng","I believe the purpose of this study is to assess the bias of online surveys."
"1088","s7036","tur","insanın bildiği şey ile inandığı şey arasındaki farklar araştırılıyor olabilir. ya da bilmek ile inanmak kelimelerinin tam karşılığı insanlara verilmek isteniyor olabilir."
"1089","s7061","eng","Determining evidence and fact, based on others perceptions."
"1090","s7066","eng","How language can be phrased to make people believe one thing or another. "
"1091","s7069","eng","maybe to look at the difference between believing and knowing and whether its reasonable to assume right ?"
"1092","s7083","nor","Enten ang språk slik som dere forteller, eller om hvordan individer oppfatter/tenker om studier. "
"1093","s7092","tur","okuduklarımızdan nasıl çıkarım yaptığımız aslında iki seçenekte olabilirken biz kendimiz nasıl hissedersek ya da olaya hangısı daha ykın geliyorsa ou seçiyoruz."
"1094","s7093","tur","C"
"1095","s7094","tur","İnsanların birçok şeyi inanarak mı yaptığı yoksa bildiği için mi yaptığı ayrımına varmak."
"1096","s7096","tur","olaylara bakış açımızın nasıl olduğunu gözlemlemek."
"1097","s7099","tur","Bence hem insanların nelere dikkat ettiğini, detaycı olup olmadıklarını, planlı olup olmadıklarını, okunulan paragrafta ifadeleri anlayıp anlamadığımızı ve bunları ne kadar anlayıp anlamadığımızı, planlı olmakla detaylara dikkat etmenin bir ilişkisinin olup olmadığı araştırmanın amacı olabilir."
"1098","s7110","tur","Bir fikrim yok."
"1099","s7114","eng","DO NOT USE IN RESULTS. TEST RUN "
"1100","s7119","eng","I think the purpose is to test our conception of belief and how this is influenced by the stories we read. "
"1101","s7132","pol","Nie jestempewna odpowiedzi na to pytanie"
"1102","s7134","pol","Celem badania jest umiejętność czytania ze zrozumieniem i wnioskowania"
"1103","s7138","nor","Nei"
"1104","s7142","nor","Noe med beslutningstaking med hensyn på gitt informasjon/kunnskap. "
"1105","s7150","eng","I think that the purpose of this study was to see how people analyze other people's thought process and how it affects their decision-making. "
